Title,URL,Last Updated,Summary,Text_For_Model,bart_team,bart_score,bart_margin,bart_final,review_flag
Marine Protected Areas Bottom Towed Fishing Gear Byelaw 2023,https://www.gov.uk/government/publications/marine-protected-areas-bottom-towed-fishing-gear-byelaw-2023,1 February 2024,"Marine Protected Areas Bottom Towed Fishing Gear Byelaw 2023 MMO byelaw covering specified areas in the following 13 marine protected areas. Applies to England Documents PDF , 5.45 MB , 33 pages Stage 2 Decision Document PDF , 3.07 MB , 99 pages This file may not be suitable for users of assistive technology. Stage 2 MPA Fisheries Assessment PDF , 10.3 MB , 96 pages Stage 2 MPA DMA PDF , 7.07 MB , 51 pages Details The byelaw covers specified areas in the following 13 marine protected areas: Cape Bank Marine Conservation Zone; East of Haig Fras Marine Conservation Zone; Farnes East Marine Conservation Zone; Foreland Marine Conservation Zone; Goodwin Sands Marine Conservation Zone; Haig Fras Special Area of Conservation; Haisborough, Hammond and Winterton Special Area of Conservation; Hartland Point to Tintagel Marine Conservation Zone; Lands End and Cape Bank Special Area of Conservation; North Norfolk Sandbanks and Saturn Reef Special Area of Conservation; Offshore Brighton Marine Conservation Zone; South of Celtic Deep Marine Conservation Zone; and Wight-Barfleur Reef Special Area of Conservation. The byelaw was made by the Marine Management Organisation in 2023 and then confirmed by Secretary of State on 1 February 2024. The byelaw came into force on 22 March 2024. The purpose of the byelaw is to protect marine fauna and habitats, including rock, reef and associated biological communities, from the impacts of bottom towed fishing gear. The byelaw prohibits the use of bottom towed fishing gear in specified areas within the 13 marine protected areas listed above. More information on the sites is available from Joint Nature Conservation Committee and Natural England. A signed copy of the byelaw will be provided for inspection by emailing conservation@marinemanagement.org.uk Updates to this page","Marine Protected Areas Bottom Towed Fishing Gear Byelaw 2023 Marine Protected Areas Bottom Towed Fishing Gear Byelaw 2023 MMO byelaw covering specified areas in the following 13 marine protected areas Stage 2 MPA Fisheries Assessment PDF , 10.3 MB , 96 pages Stage 2 MPA DMA PDF , 7.07 MB , 51 pages Details The byelaw covers specified areas in the following 13 marine protected areas: Cape Bank Marine Conservation Zone; East of Haig Fras Marine Conservation Zone; Farnes East Marine Conservation Zone; Foreland Marine Conservation Zone; Goodwin Sands Marine Conservation Zone; Haig Fras Special Area of Conservation; Haisborough, Hammond and Winterton Special Area of Conservation; Hartland Point to Tintagel Marine Conservation Zone; Lands End and Cape Bank Special Area of Conservation; North Norfolk Sandbanks and Saturn Reef Special Area of Conservation; Offshore Brighton Marine Conservation Zone; South of Celtic Deep Marine Conservation Zone; and Wight-Barfleur Reef Special Area of Conservation The byelaw was made by the Marine Management Organisation in 2023 and then confirmed by Secretary of State on 1 February 2024 The byelaw came into force on 22 March 2024 The purpose of the byelaw is to protect marine fauna and habitats, including rock, reef and associated biological communities, from the impacts of bottom towed fishing gear The byelaw prohibits the use of bottom towed fishing gear in specified areas within the 13 marine protected areas listed above More information on the",Marine Planning,0.12347289,0.004776418,Unclassified,REVIEW_LOW_SCORE
The South Marine plans documents,https://www.gov.uk/government/publications/the-south-marine-plans-documents,20 September 2022,"The South Marine plans documents The South Marine Plans were published on 17 July 2018. Documents South Inshore and Offshore Marine Plan PDF , 1.8 MB , 40 pages This file may not be suitable for users of assistive technology. South Inshore and Offshore Marine Plan Technical Annex PDF , 17.3 MB , 206 pages South Marine Plan Areas Sustainability Appraisal Statement PDF , 523 KB , 21 pages South Marine Plan Areas Sustainability Appraisal: Final Sustainability Appraisal Report Part 1 PDF , 792 KB , 38 pages South Marine Plan Areas Sustainability Appraisal: Sustainability Appraisal Report Part 2 PDF , 6.31 MB , 177 pages South Marine Plan Areas Sustainability Appraisal: Final Sustainability Appraisal Report Part 3 PDF , 692 KB , 53 pages South Marine Plan Areas Sustainability Appraisal: Sustainability Appraisal Report Part 3. Annexes PDF , 1.13 MB , 123 pages South Marine Plan Areas Sustainability Appraisal: Non Technical Summary PDF , 633 KB , 39 pages South Marine Plan Habitats Regulations Assessment: Appropriate Assessment PDF , 885 KB , 38 pages South Marine Plan Approach to Monitoring PDF , 759 KB , 21 pages South Marine Plan Modifications: Overview and summary of consultation PDF , 629 KB , 24 pages South Marine Plans EU Exit Guidance PDF , 75.8 KB , 1 page Details The European Union (Withdrawal) Act 2018 will convert many EU measures into UK law. Former EU measures converted into UK law are referred to as ‘retained EU law’ with statutory instruments amending the retained EU law to ensure it is operable. References in this marine plan and supporting documents to EC or EU legislation, EU legislative requirements, European legislation and EU requirements are to be read as references to retained EU law from 1 January 2021. Unless otherwise indicated, a reference to a Directive, or provisions of that Directive, should be read as reference to the legislation which gave effect to the requirements of that Directive (or the provision of that Directive) in the UK, as amende","The South Marine plans documents The South Marine plans documents The South Marine Plans were published on 17 July 2018 Documents South Inshore and Offshore Marine Plan PDF , 1.8 MB , 40 pages This file may not be suitable for users of assistive technology South Inshore and Offshore Marine Plan Technical Annex PDF , 17.3 MB , 206 pages South Marine Plan Areas Sustainability Appraisal Statement PDF , 523 KB , 21 pages South Marine Plan Areas Sustainability Appraisal: Final Sustainability Appraisal Report Part 1 PDF , 792 KB , 38 pages South Marine Plan Areas Sustainability Appraisal: Sustainability Appraisal Report Part 2 PDF , 6.31 MB , 177 pages South Marine Plan Areas Sustainability Appraisal: Final Sustainability Appraisal Report Part 3 PDF , 692 KB , 53 pages South Marine Plan Areas Sustainability Appraisal: Sustainability Appraisal Report Part 3 Annexes PDF , 1.13 MB , 123 pages South Marine Plan Areas Sustainability Appraisal: Non Technical Summary PDF , 633 KB , 39 pages South Marine Plan Habitats Regulations Assessment: Appropriate Assessment PDF , 885 KB , 38 pages South Marine Plan Approach to Monitoring PDF , 759 KB , 21 pages South Marine Plan Modifications: Overview and summary of consultation PDF , 629 KB , 24 pages South Marine Plans EU Exit Guidance PDF , 75.8 KB , 1 page Details The European Union (Withdrawal) Act 2018 will convert many EU measures into UK law Former EU measures converted into UK law are referred to as ‘retained EU law’ with statutory",Marine Planning,0.21114664,0.14058529,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
Marine licensing applications: when decisions can go to government ministers,https://www.gov.uk/guidance/marine-licensing-applications-when-decisions-can-go-to-government-ministers,12 October 2015,"Marine licensing applications: when decisions can go to government ministers The process and criteria for the recovery of marine licence applications for decision by ministers. Overview The Marine Management Organisation (MMO) is generally responsible for taking decisions on marine licensing applications. In some circumstances it can refer an application to government ministers for a decision rather than making a licensing decision itself. When certain criteria apply, the MMO will refer an application to ministers so they can  decide whether to recover it. If ministers recover the application, they will set up a public inquiry. Ministers will then make the final decision on the application. These referrals from the MMO go to ministers responsible for the Department for the Environment, Food and Rural Affairs (Defra). Criteria for recovery For ministers to recover a marine licensing application, it must meet all 3 of the following criteria: it falls in band 3 of MMO’s licence charging scheme, covering the larger and more complex projects it is for an activity taking place wholly or partly in English waters up to 6 nautical miles from the coast it could have a significant effect and raise issues appropriate for examination in an inquiry Request a referral Individuals or organisations can ask a Local Planning Authority (LPA) or Inshore Fisheries and Conservation Authority (IFCA) to request that the MMO refers an application to ministers if they think it meets the 3 criteria. Who can ask the MMO to make a referral A Local Planning Authority (LPA) or Inshore Fisheries and Conservation Authority (IFCA) can advise the MMO that they consider an application meets all the 3 criteria for referral to Defra ministers.  They should do this during the consultation period on the application. The MMO must refer the application to Defra ministers if an LPA or IFCA advises that it meets all 3 criteria. LPAs in the devolved administrations can also advise the MMO that the 3 criteria ap","Marine licensing applications: when decisions can go to government ministers Marine licensing applications: when decisions can go to government ministers The process and criteria for the recovery of marine licence applications for decision by ministers In some circumstances it can refer an application to government ministers for a decision rather than making a licensing decision itself When certain criteria apply, the MMO will refer an application to ministers so they can decide whether to recover it If ministers recover the application, they will set up a public inquiry Ministers will then make the final decision on the application Criteria for recovery For ministers to recover a marine licensing application, it must meet all 3 of the following criteria: it falls in band 3 of MMO’s licence charging scheme, covering the larger and more complex projects it is for an activity taking place wholly or partly in English waters up to 6 nautical miles from the coast it could have a significant effect and raise issues appropriate for examination in an inquiry Request a referral Individuals or organisations can ask a Local Planning Authority (LPA) or Inshore Fisheries and Conservation Authority (IFCA) to request that the MMO refers an application to ministers if they think it meets the 3 criteria Who can ask the MMO to make a referral A Local Planning Authority (LPA) or Inshore Fisheries and Conservation Authority (IFCA) can advise the MMO that they consider an application meets all",Marine Licensing,0.6161293,0.52491635,Marine Licensing,OK
Understand fisheries catch limits and closed fishing areas,https://www.gov.uk/guidance/understand-fisheries-catch-limits-and-closed-fishing-areas,23 July 2015,"Understand fisheries catch limits and closed fishing areas How catch limits are set and how to get involved in setting them. This includes current catch limits and closed fishing areas. What are catch limits? It is your responsibility to know your catch limits. Check the annexe to your vessel licence for detailed information about what you can and cannot catch. Any breach of the terms set out is a criminal offence. Catch limits are measured in tonnes (t) or kilograms (kg). They are the maximum live weight that may be caught and retained on board, landed or transhipped, unless otherwise stated. You calculate the live weight by multiplying landed weight by the suitable conversion factor . Get involved in setting catch limits The Marine Management Organisation ( MMO ) wants to involve fishermen in managing the quota for 10-metres-and-under and non-sector vessels. Your comments and suggestions about setting catch limits can help to make sure that decisions are made taking into account the real situation at local level. Please send relevant information to InshoreQuotaManager@marinemanagement.org.uk before the 15th of the month. MMO cannot respond to individual emails, but you may contact you for more information. Email fmc@marinemanagement.org.uk if you want MMO to visit a fishermen’s association or organisation to discuss quota issues. Sector catch limits Your producer organisation ( PO ) will tell you your catch limits. Your fishing vessel licence will list the stocks that you cannot keep on board or land. Check with your PO if you have any queries about catch limits. Over 10 metre non-sector and 10 metres and under pool catch limits Your catch limits are in your vessel licence annexe and can be varied through the year. Your fishing vessel licence annex will also list the stocks that you cannot keep on board or land. Current catch limits are detailed for 10 metres and under and over 10 non-sector pools Closed fishing areas It is illegal to fish with restricted fishing ",Understand fisheries catch limits and closed fishing areas Understand fisheries catch limits and closed fishing areas How catch limits are set and how to get involved in setting them It is your responsibility to know your catch limits Check the annexe to your vessel licence for detailed information about what you can and cannot catch Get involved in setting catch limits The Marine Management Organisation ( MMO ) wants to involve fishermen in managing the quota for 10-metres-and-under and non-sector vessels Sector catch limits Your producer organisation ( PO ) will tell you your catch limits Your fishing vessel licence will list the stocks that you cannot keep on board or land Over 10 metre non-sector and 10 metres and under pool catch limits Your catch limits are in your vessel licence annexe and can be varied through the year Current catch limits are detailed for 10 metres and under and over 10 non-sector pools Closed fishing areas It is illegal to fish with restricted fishing,Marine Licensing,0.21750753,0.12818956,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
The Western Channel and Southwest Marine Protected Areas Fishing Gear Byelaw 2024,https://www.gov.uk/government/publications/the-western-channel-and-southwest-marine-protected-areas-fishing-gear-byelaw-2024,19 September 2025,"The Western Channel and Southwest Marine Protected Areas Fishing Gear Byelaw 2024 MMO is proposing management measures for offshore marine protected areas (MPAs) in The Western Channel and Southwest region. Documents The Western Channel and South West Marine Protected Areas Fishing Gear Byelaw 2024 (updated) PDF , 32.3 MB , 45 pages Details This draft byelaw covers ICES area 7e, 7f, 7g, 7h and 7j and includes measures for the following MPAs: Bristows to the Stones - prohibition of bottom towed gear across the whole of the MMO portion of the MPA. Cape Bank - a minor change to the boundaries of the existing prohibition of bottom towed fishing gear across the whole of the MMO portion of the site (see section 6). East of Haig Fras - a minor change to the boundaries of the existing prohibition of bottom towed fishing gear across the whole of the site. East of Start Point – prohibition of bottom towed gear across the whole of the MPA. Greater Haig Fras – prohibition of bottom towed gear across the whole of the MPA. Hartland Point to Tintagel – prohibition of traps and bottom-set nets and lines across the whole of the MMO portion of the site and inclusion of the existing prohibition of bottom towed fishing gear across the whole of the MMO portion of the MPA. Land’s End and Cape Bank - East of Haig Fras - a minor change to the boundaries of the existing prohibition of bottom towed fishing gear across the whole of the MMO portion of the site (see section 6). North East of Haig Fras – prohibition of bottom towed gear across the whole of the MPA. North West of Lundy – prohibition of bottom towed gear across the whole of the MPA. North West of Jones Bank – prohibition of bottom towed gear across the whole of the MPA. Skerries Bank and Surrounds – prohibition of bottom towed gear and the removal of spiny lobster across the whole of the MMO portion of the MPA. South of Celtic Deep – prohibition of bottom towed gear across the whole of the MPA. South of the Isles of Scilly – prohi","Documents The Western Channel and South West Marine Protected Areas Fishing Gear Byelaw 2024 (updated) PDF , 32.3 MB , 45 pages Details This draft byelaw covers ICES area 7e, 7f, 7g, 7h and 7j and includes measures for the following MPAs: Bristows to the Stones - prohibition of bottom towed gear across the whole of the MMO portion of the MPA East of Start Point – prohibition of bottom towed gear across the whole of the MPA Hartland Point to Tintagel – prohibition of traps and bottom-set nets and lines across the whole of the MMO portion of the site and inclusion of the existing prohibition of bottom towed fishing gear across the whole of the MMO portion of the MPA Land’s End and Cape Bank - East of Haig Fras - a minor change to the boundaries of the existing prohibition of bottom towed fishing gear across the whole of the MMO portion of the site (see section 6) North East of Haig Fras – prohibition of bottom towed gear across the whole of the MPA North West of Jones Bank – prohibition of bottom towed gear across the whole of the MPA Skerries Bank and Surrounds – prohibition of bottom towed gear and the removal of spiny lobster across the whole of the MMO portion of the MPA South of Celtic Deep – prohibition of bottom towed gear across the whole of the MPA",Marine Planning,0.10561519,0.010241598,Unclassified,REVIEW_LOW_SCORE
Brighton Marina Dredge and Disposal,https://www.gov.uk/guidance/brighton-marina-dredge-and-disposal,7 November 2025,"Brighton Marina Dredge and Disposal Brighton Marina Dredge and Disposal marine licence application (MLA/2024/00394). This summary page will be updated regularly and further information can be found on the public register by searching for the marine licence reference number stated above. Update - November 2025 We notified the judge of our intention not to defend the judicial review on our decision to grant a marine licence for Brighton Marina Dredge and Disposal. This decision was based on one of the points raised by Sussex Wildlife Trust. We accept that when making the decision, we concluded that any adverse impacts on marine protected areas were within acceptable limits but did not consider whether the proposal triggered the need to avoid, minimise or mitigate the adverse impacts and did not assess whether the application had avoided, minimised or mitigated those adverse impacts. Case Status and Update – August 2025 The Sussex Wildlife Trust has applied for permission to bring a judicial review of the MMO’s decision to grant a license for this case. The MMO has conducted a comprehensive review of the licence application, including consultation with the public, our scientific and primary advisors, and key stakeholders. The marine licence was granted with conditions, based on the best available scientific evidence. The MMO was established by the Marine and Coastal Access Act 2009 (MCAA 2009) to make a contribution to sustainable development in the marine area and to promote clean, healthy, safe, productive and biologically diverse oceans and seas. When determining an application for a Marine Licence under MCAA (2009) (Part 4, Chapter 1 (69)1), including the terms on which it is granted and what conditions, if any, are to be attached to it, the MMO must have regard to; The need to protect the environment The need to protect public health The need to prevent interference with legitimate users of the sea, and other such matters the MMO thinks relevant As legal proceedin","This summary page will be updated regularly and further information can be found on the public register by searching for the marine licence reference number stated above Update - November 2025 We notified the judge of our intention not to defend the judicial review on our decision to grant a marine licence for Brighton Marina Dredge and Disposal This decision was based on one of the points raised by Sussex Wildlife Trust We accept that when making the decision, we concluded that any adverse impacts on marine protected areas were within acceptable limits but did not consider whether the proposal triggered the need to avoid, minimise or mitigate the adverse impacts and did not assess whether the application had avoided, minimised or mitigated those adverse impacts Case Status and Update – August 2025 The Sussex Wildlife Trust has applied for permission to bring a judicial review of the MMO’s decision to grant a license for this case The MMO has conducted a comprehensive review of the licence application, including consultation with the public, our scientific and primary advisors, and key stakeholders The marine licence was granted with conditions, based on the best available scientific evidence When determining an application for a Marine Licence under MCAA (2009) (Part 4, Chapter 1 (69)1), including the terms on which it is granted and what conditions, if any, are to be attached to it, the MMO must have regard to; The need to protect the environment The need to protect public",Marine Licensing,0.26730797,0.17534006,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
Stage 3 Impacts Evidence,https://www.gov.uk/government/publications/stage-3-impacts-evidence,9 June 2025,"Stage 3 Impacts Evidence MMO has carried out assessments on the impacts of fishing gear on protected features in Stage 3 MPAs as well as an assessment of the social and economic impacts of the proposed byelaws. Applies to England Documents Anchored Nets and Lines Fishing Gear Impacts Evidence Stage 3 MPAs PDF , 1.06 MB , 73 pages Bottom Towed Gear Fishing Gear Impacts Evidence Stage 3 MPAs PDF , 1.21 MB , 100 pages This file may not be suitable for users of assistive technology. Traps Fishing Gear Impacts Evidence Stage 3 MPAs PDF , 1.07 MB , 77 pages MMO De Minimis  Assessment: Marine  Protected Areas Fishing  Gears Byelaw (Draft) PDF , 3.64 MB , 100 pages Details Fishing Gear Impacts Evidence MMOs has carried out site level assessments of the impacts of fishing gear on protected features in Stage 3 MPAs. Stage 3 Fishing Gear MPA Impacts Evidence: Summary - Stage 3 Fishing Gear MPA - Impacts Evidence: Anchored Nets and Lines Stage 3 Fishing Gear MPA Impacts Evidence: Bottom Towed Gear Stage 3 Fishing Gear MPA Impacts Evidence: Traps De-minimis assessment This assessment considers the social and economic impacts of the proposed byelaws. Updates to this page","Stage 3 Impacts Evidence Stage 3 Impacts Evidence MMO has carried out assessments on the impacts of fishing gear on protected features in Stage 3 MPAs as well as an assessment of the social and economic impacts of the proposed byelaws Applies to England Documents Anchored Nets and Lines Fishing Gear Impacts Evidence Stage 3 MPAs PDF , 1.06 MB , 73 pages Bottom Towed Gear Fishing Gear Impacts Evidence Stage 3 MPAs PDF , 1.21 MB , 100 pages This file may not be suitable for users of assistive technology Traps Fishing Gear Impacts Evidence Stage 3 MPAs PDF , 1.07 MB , 77 pages MMO De Minimis Assessment: Marine Protected Areas Fishing Gears Byelaw (Draft) PDF , 3.64 MB , 100 pages Details Fishing Gear Impacts Evidence MMOs has carried out site level assessments of the impacts of fishing gear on protected features in Stage 3 MPAs Stage 3 Fishing Gear MPA Impacts Evidence: Summary - Stage 3 Fishing Gear MPA - Impacts Evidence: Anchored Nets and Lines Stage 3 Fishing Gear MPA Impacts Evidence: Bottom Towed Gear Stage 3 Fishing Gear MPA Impacts Evidence: Traps De-minimis assessment This assessment considers the social and economic impacts of the proposed byelaws",FMT,0.13994783,0.003036499,Unclassified,REVIEW_LOW_SCORE
The South West Marine Plans Documents,https://www.gov.uk/government/publications/the-south-west-marine-plans-documents,23 June 2021,"The South West Marine Plans Documents Published June 2021 the South West Inshore and South West Offshore Marine Plans provides guidance for sustainable development from the border with Wales to the River Dart in Devon. Documents South West Inshore and South West Offshore Marine Plan PDF , 1.58 MB , 68 pages South West Inshore and South West Offshore Technical Annex PDF , 11.8 MB , 359 pages Habitats Regulations Assessment: Screening Report and Appropriate Assessment Information Report PDF , 2.37 MB , 278 pages Habitats Regulations Assessment: Appropriate Assessment 2021 PDF , 851 KB , 58 pages Non-Technical Summary. Final Report PDF , 692 KB , 41 pages South West Inshore Marine Plan Sustainability Appraisal PDF , 608 KB , 47 pages Part 1: Introduction and Methodology. Final Report PDF , 1.01 MB , 49 pages Part 2: Scoping Information. Final Report PDF , 999 KB , 104 pages Approach to Monitoring PDF , 1.21 MB , 23 pages South West Marine Plan Modifications Report PDF , 787 KB , 42 pages Details Marine plans address the key issues for the area, setting a vision and objectives. Detailed policies set out how these will be achieved and how issues will be managed or mitigated. The policies inform decision-making for any activity or development which is in or impacts on a marine area. Our Explore Marine Plans tool supports decision-makers and applicants using the South West Marine Plans. It includes an overview of each plan policy by sector and a searchable map of relating data and evidence. In developing the South West Inshore and Offshore Marine Plans we have also published: habitats regulations assessment sustainability appraisal approach to monitoring modification report Marine plans place sustainability at the centre of all decisions. The Sustainability Appraisal (SA) provides an independent assessment of economic, social and environmental sustainability. Public consultation on the Draft South West Marine Plans and Draft Technical Annex was held between the 14 January ","The South West Marine Plans Documents The South West Marine Plans Documents Published June 2021 the South West Inshore and South West Offshore Marine Plans provides guidance for sustainable development from the border with Wales to the River Dart in Devon Documents South West Inshore and South West Offshore Marine Plan PDF , 1.58 MB , 68 pages South West Inshore and South West Offshore Technical Annex PDF , 11.8 MB , 359 pages Habitats Regulations Assessment: Screening Report and Appropriate Assessment Information Report PDF , 2.37 MB , 278 pages Habitats Regulations Assessment: Appropriate Assessment 2021 PDF , 851 KB , 58 pages Non-Technical Summary Final Report PDF , 692 KB , 41 pages South West Inshore Marine Plan Sustainability Appraisal PDF , 608 KB , 47 pages Part 1: Introduction and Methodology Final Report PDF , 1.01 MB , 49 pages Part 2: Scoping Information Final Report PDF , 999 KB , 104 pages Approach to Monitoring PDF , 1.21 MB , 23 pages South West Marine Plan Modifications Report PDF , 787 KB , 42 pages Details Marine plans address the key issues for the area, setting a vision and objectives Our Explore Marine Plans tool supports decision-makers and applicants using the South West Marine Plans In developing the South West Inshore and Offshore Marine Plans we have also published: habitats regulations assessment sustainability appraisal approach to monitoring modification report Marine plans place sustainability at the centre of all decisions Public consultation",Marine Planning,0.4831484,0.3768837,Marine Planning,OK
2024 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data,https://www.gov.uk/government/publications/uk-and-foreign-vessels-landings-by-uk-port-and-uk-vessel-landings-abroad-provisional-data-2024,31 January 2025,"2024 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data. Documents Provisional Dataset_UK and Foreign Vessels landings by UK port and UK vessel landings abroad_2024 (year to date) ODS , 3.88 MB This file is in an OpenDocument format Details Updates to this page 31 January 2025 December 2024 update December 2024 update 13 December 2024 Provisional Dataset UK and Foreign Vessels landings by UK port and UK vessel landings abroad_2024 (year to date) updated. Provisional Dataset UK and Foreign Vessels landings by UK port and UK vessel landings abroad_2024 (year to date) updated. 29 November 2024 Update 29/11 Update 29/11 25 October 2024 First published. First published.","2024 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data 2024 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data Documents Provisional Dataset_UK and Foreign Vessels landings by UK port and UK vessel landings abroad_2024 (year to date) ODS , 3.88 MB This file is in an OpenDocument format Details Updates to this page 31 January 2025 December 2024 update December 2024 update 13 December 2024 Provisional Dataset UK and Foreign Vessels landings by UK port and UK vessel landings abroad_2024 (year to date) updated Provisional Dataset UK and Foreign Vessels landings by UK port and UK vessel landings abroad_2024 (year to date) updated. 29 November 2024 Update 29/11 Update 29/11 25 October 2024 First published",FVL,0.22839667,0.10003173,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) development,https://www.gov.uk/guidance/celtic-sea-and-western-channel-demersal-fisheries-management-plan-fmp,22 April 2025,"Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) development The Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) covers English and Welsh waters within ICES areas 7e, 7f, 7g and 7h. It includes demersal species blue ling, cod, deep water sharks, haddock, megrim, four spotted megrim, monkfish and anglerfish, nephrops, plaice, pollack, red seabream, round nose grenadier, saithe, skates and rays, blonde ray, cuckoo ray, sandy ray, shagreen ray, small-eyed ray, spotted ray, thornback ray, sole and whiting. This FMP is one of 43 FMPs to be developed under the Joint Fisheries Statement to support a sustainable and profitable fishing industry. The Celtic Sea and Western Channel demersal NQS FMP is among the Tranche Four of the FMPs being developed, with an aim to publish the plan at the end of 2025. MMO will work with stakeholders from commercial and recreational fishing sectors, environmental organisations and other key marine bodies to understand their views, particularly on which species should be a priority, potential management changes and sustainability. Development of a plan specifically for demersal species in the Celtic Sea and Western Channel was highlighted by the fishing industry and other key marine stakeholders as a necessary move because of concern about potential over-exploitation of some stocks. If you are interested in the Celtic Sea and Western Channel demersal FMP and want to be included in our stakeholder communications please send your details in confidence and a summary of your particular interest to FMP@marinemanagement.org.uk . 2024 Stakeholder Engagement feedback 2024 Stakeholder  Engagement feedback PDF , 326 KB , 14 pages Terms of Reference Celtic Sea and Western Channel Demersal FMP Working Group (WG) Terms of Reference (ToR) PDF , 154 KB , 8 pages Working Group 3 Celtic Sea and Western Channel Demersal FMP - Working Group 3 meeting slides (22nd January 2025) PDF , 387 KB , 13 pages Celtic Sea and ","Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) development Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) development The Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) covers English and Welsh waters within ICES areas 7e, 7f, 7g and 7h It includes demersal species blue ling, cod, deep water sharks, haddock, megrim, four spotted megrim, monkfish and anglerfish, nephrops, plaice, pollack, red seabream, round nose grenadier, saithe, skates and rays, blonde ray, cuckoo ray, sandy ray, shagreen ray, small-eyed ray, spotted ray, thornback ray, sole and whiting This FMP is one of 43 FMPs to be developed under the Joint Fisheries Statement to support a sustainable and profitable fishing industry The Celtic Sea and Western Channel demersal NQS FMP is among the Tranche Four of the FMPs being developed, with an aim to publish the plan at the end of 2025 MMO will work with stakeholders from commercial and recreational fishing sectors, environmental organisations and other key marine bodies to understand their views, particularly on which species should be a priority, potential management changes and sustainability Development of a plan specifically for demersal species in the Celtic Sea and Western Channel was highlighted by the fishing industry and other key marine stakeholders as a necessary move because of concern about potential over-exploitation of some stocks If you are interested in the Celtic Sea and",Marine Planning,0.34537172,0.21568649,Marine Planning,OK
How to apply for a marine licence,https://www.gov.uk/guidance/how-to-apply-for-a-marine-licence,27 January 2025,"How to apply for a marine licence Details on what you need to do to apply for a standard marine licence. Have your say and help MMO improve the Marine Planning and Licensing Service To apply for a marine licence, you need to register on MMO’s online licensing system and set up an online account. Before you apply If you’re unsure if you need a marine licence, use our marine licence tool before continuing. Before applying, please ensure that you are familiar with the methodology, location, and scope of the work. This includes understanding all licensable activities within the work, as some methodologies may involve multiple activities. If there are any changes within the scope of the work, you should revisit the tool. After registering, we recommend before submitting your application and after following the guidance on what you may need to supply with your application, if you are unsure what you may need to supply you can use our pre-application service. We will then be able to advise on what you should include in your application. To use this service, submit an enquiry from your account on our online licencing system. This service may incur a charge . If you submit a marine licence application with incomplete information, we will not process it. In most cases we’ll ask you to supply the missing information. In some circumstances we’ll need to reject the application. Check here to understand what you may need to supply with your marine licence application. How to Apply for a marine licence You can apply for a marine licence account using our online licensing system once you are registered or have an existing account. You can use the online licensing system to: submit a marine licence application (pre-application service) request advice by submitting an enquiry notify us about an exempt activity request an Environmental Impact Assessment (EIA) screening opinion request an Environmental Impact Assessment (EIA) scoping requests request an environmental statement review r","How to apply for a marine licence How to apply for a marine licence Details on what you need to do to apply for a standard marine licence Have your say and help MMO improve the Marine Planning and Licensing Service To apply for a marine licence, you need to register on MMO’s online licensing system and set up an online account Before you apply If you’re unsure if you need a marine licence, use our marine licence tool before continuing After registering, we recommend before submitting your application and after following the guidance on what you may need to supply with your application, if you are unsure what you may need to supply you can use our pre-application service If you submit a marine licence application with incomplete information, we will not process it Check here to understand what you may need to supply with your marine licence application How to Apply for a marine licence You can apply for a marine licence account using our online licensing system once you are registered or have an existing account You can use the online licensing system to: submit a marine licence application (pre-application service) request advice by submitting an enquiry notify us about an exempt activity request an Environmental Impact Assessment (EIA) screening opinion request an Environmental Impact Assessment (EIA) scoping requests request an environmental statement review r",Marine Planning,0.17328875,0.013007656,Unclassified,REVIEW_LOW_SCORE
